Student name,semester new,coursename
Bill Mumy,Fall 2004,BEHAVIORAL PHARMACOLOGY
Bill Mumy,Fall 2000,AMERICAN FOREIGN POLICY
Bill Mumy,Fall 2003,"DRUGS, BRAIN AND MIND"
Bill Mumy,Fall 2005,Environmental Case Studies
Bill Mumy,Fall 2000,COMPUTER LINEAR ALGEBRA
Bill Mumy,Spring 2002,"ART, from ancient to 1945"
Bill Mumy,Spring 2003,CONTEMP ART - since 1945
Bill Mumy,Fall 2002,ANALYTICAL MECHANICS
Bill Mumy,Spring 2005,CONTEMPORARY AFRICAN ART
Bill Mumy,Fall 2004,CEL BIO BIOCHEMISTRY
Bill Mumy,Spring 2003,CELL BIOLOGY and BIOCHEMISTRY
Bill Mumy,Spring 2002,"BIBLE IN TRANSLATION: Proverbs, Ecclesiastes, and Job"
Chris Evert,Spring 2001,COMPUT LINEAR ALGEBRA
Chris Evert,Spring 2001,Environmental Case Studies
Chris Evert,Spring 2002,A WORLD AT WAR
Chris Evert,Spring 2001,FRESHWATER ECOLOGY
Chris Evert,Spring 2002,CONTEMPORARY POL.THOUGHT
Chris Evert,Spring 2003,AMERICAN HEALTH POLICY
Ruth Bader Ginsburg,Spring 2002,FRESHWATER ECOLOGY
Ruth Bader Ginsburg,Spring 2001,CONTEMPORARY POL.THOUGHT
Ruth Bader Ginsburg,Spring 2001,AMERICAN HEALTH POLICY
Ruth Bader Ginsburg,Fall 2001,AMERICAN SOUTH 1861-PRES
Geraldine Ferraro,Summer 2004,BEHAVIORAL PHARMACOLOGY
Geraldine Ferraro,Summer 2004,AMERICAN FOREIGN POLICY
Geraldine Ferraro,Spring 2003,COMPUT LINEAR ALGEBRA
Geraldine Ferraro,Spring 2003,Environmental Case Studies
Geraldine Ferraro,Spring 2004,ANALYTICAL MECHANICS
Geraldine Ferraro,Spring 2004,ELEMENTARY ARABIC II
CCH Pounder,Summer 2001,AMERICAN FOREIGN POLICY
CCH Pounder,Summer 2002,AMERICAN HEALTH POLICY
